Date,Open,High,Low,Close,Adj Close,Volume
2000-05-16,610.000000,610.000000,594.299988,600.500000,220.264435,31523804
2000-05-17,600.000000,600.000000,588.000000,592.500000,217.329941,25780774
2000-05-18,591.000000,619.000000,590.000000,613.000000,224.849442,40412772
2000-05-19,612.000000,624.000000,606.000000,609.000000,223.382248,32173036
2000-05-22,613.500000,619.000000,597.000000,614.500000,225.399658,53774696
2000-05-23,611.500000,613.000000,600.000000,608.000000,223.015457,49310212
2000-05-24,609.799988,616.299988,589.000000,598.500000,219.530823,48125780
2000-05-25,605.000000,605.000000,589.000000,599.500000,219.897629,47122104
2000-05-26,597.000000,610.000000,587.500000,600.500000,220.264435,33480940
2000-05-29,600.500000,600.500000,600.500000,600.500000,220.264435,0
2000-05-30,591.000000,608.000000,585.000000,591.000000,216.779724,34444816
2000-05-31,608.500000,609.099976,605.299988,608.500000,223.198868,35644984
2000-06-01,608.500000,612.799988,608.500000,608.500000,223.198868,23899624
2000-06-02,625.500000,631.000000,625.500000,625.500000,229.434479,51801724
2000-06-05,622.000000,623.799988,617.799988,622.000000,228.150665,31586980
2000-06-06,611.000000,632.000000,611.000000,624.000000,228.884232,52428996
2000-06-07,622.299988,633.500000,605.000000,607.000000,222.648697,66162544
2000-06-08,623.000000,622.000000,595.500000,621.000000,227.783844,39816768
2000-06-09,603.500000,630.500000,603.500000,622.000000,228.150665,30642004
2000-06-12,622.299988,624.000000,605.000000,620.000000,227.417099,51017540
2000-06-13,627.000000,639.000000,625.500000,631.000000,231.451859,32055116
2000-06-14,633.500000,633.500000,633.500000,633.500000,232.368881,29241728
2000-06-15,635.799988,639.000000,617.000000,618.500000,226.866776,38240368
2000-06-16,615.500000,637.000000,612.000000,626.000000,229.617889,38665664
2000-06-19,623.599976,643.000000,620.700012,632.000000,231.818558,40339316
2000-06-20,628.000000,633.000000,624.200012,624.500000,229.067612,35326032
2000-06-21,630.000000,630.000000,630.000000,630.000000,231.085129,34917120
2000-06-22,638.000000,638.000000,638.000000,638.000000,234.019501,88388080
2000-06-23,642.500000,642.500000,642.500000,642.500000,235.670105,27978936
2000-06-26,649.000000,649.000000,649.000000,649.000000,238.054398,24048080
2000-06-27,632.500000,632.500000,632.500000,632.500000,232.002014,41469648
2000-06-28,619.000000,619.000000,619.000000,619.000000,227.050156,44230876
2000-06-29,623.500000,623.500000,623.500000,623.500000,228.700912,46909976
2000-06-30,634.000000,634.000000,634.000000,634.000000,232.552322,49324112
2000-07-03,648.000000,648.000000,648.000000,648.000000,237.687485,51444448
2000-07-04,630.000000,630.000000,630.000000,630.000000,231.085129,34858828
2000-07-05,600.500000,600.500000,600.500000,600.500000,220.264435,104181424
2000-07-06,604.500000,604.500000,604.500000,604.500000,221.731644,38554848
2000-07-07,617.000000,617.000000,617.000000,617.000000,226.316635,51173060
2000-07-10,615.000000,615.000000,615.000000,615.000000,225.582962,31400384
2000-07-11,625.000000,625.000000,625.000000,625.000000,229.251053,52075916
2000-07-12,618.000000,618.000000,618.000000,618.000000,226.683487,40561356
2000-07-13,609.500000,609.500000,609.500000,609.500000,223.565628,41732612
2000-07-14,600.500000,600.500000,600.500000,600.500000,220.264435,22872604
2000-07-17,580.000000,580.000000,580.000000,580.000000,212.745041,51957140
2000-07-18,582.500000,582.500000,582.500000,582.500000,213.661926,55141072
2000-07-19,599.000000,599.000000,599.000000,599.000000,219.714233,59834096
2000-07-20,586.000000,586.000000,586.000000,586.000000,214.945831,41102304
2000-07-21,570.000000,570.000000,570.000000,570.000000,209.076965,45446024
2000-07-24,564.500000,564.500000,564.500000,564.500000,207.059479,31091538
2000-07-25,568.000000,568.000000,568.000000,568.000000,208.343262,41233532
2000-07-26,576.000000,576.000000,576.000000,576.000000,211.277817,36573888
2000-07-27,582.000000,582.000000,582.000000,582.000000,213.478683,49681488
2000-07-28,593.500000,593.500000,593.500000,593.500000,217.696823,49112792
2000-07-31,584.000000,584.000000,584.000000,584.000000,214.212097,34245220
2000-08-01,573.000000,573.000000,573.000000,573.000000,210.177338,25780952
2000-08-02,582.000000,599.500000,582.000000,597.000000,218.980621,38920188
2000-08-03,601.000000,617.000000,600.000000,603.700012,221.438202,56087312
2000-08-04,605.500000,605.500000,592.000000,597.799988,219.274063,31242800
2000-08-07,599.000000,613.000000,599.000000,608.700012,223.272232,38862888
2000-08-08,605.000000,618.000000,593.000000,608.799988,223.308884,54080264
2000-08-09,589.000000,599.000000,584.000000,587.799988,215.606110,46573344
2000-08-10,591.000000,593.000000,576.000000,584.200012,214.285568,47696312
2000-08-11,597.500000,601.000000,591.000000,596.000000,218.613831,24862828
2000-08-14,600.000000,600.000000,586.099976,589.000000,217.267517,25925388
2000-08-15,596.000000,608.000000,595.000000,603.000000,222.431610,43422476
2000-08-16,598.000000,616.000000,593.000000,614.000000,226.489288,44418588
2000-08-17,617.500000,633.000000,613.500000,625.000000,230.546921,33977664
2000-08-18,629.000000,639.500000,625.000000,627.500000,231.469208,41861564
2000-08-21,632.000000,636.000000,622.000000,629.000000,232.022415,20266632
2000-08-22,630.000000,650.000000,630.000000,639.000000,235.711166,38653248
2000-08-23,640.500000,651.000000,639.000000,646.000000,238.293320,32927764
2000-08-24,646.000000,650.299988,634.000000,640.000000,236.080032,46732096
2000-08-25,633.500000,640.000000,630.500000,634.500000,234.051254,30358286
2000-08-28,634.500000,634.500000,634.500000,634.500000,234.051254,0
2000-08-29,643.000000,645.000000,636.000000,640.500000,236.264404,28236464
2000-08-30,647.500000,649.299988,639.000000,642.500000,237.002197,34388644
2000-08-31,643.799988,645.000000,630.299988,637.000000,234.973572,48545040
2000-09-01,635.500000,646.500000,625.000000,646.500000,238.477707,37532092
2000-09-04,645.000000,663.000000,638.000000,649.000000,239.399979,33600212
2000-09-05,660.500000,669.500000,651.000000,654.500000,241.428787,45034448
2000-09-06,656.000000,663.099976,654.000000,656.200012,242.055817,43007388
2000-09-07,666.500000,682.000000,658.000000,666.500000,245.855240,68052888
2000-09-08,660.000000,667.000000,650.000000,651.500000,240.322144,32419658
2000-09-11,652.500000,675.000000,639.000000,668.299988,246.519089,51252168
2000-09-12,672.000000,678.000000,664.000000,672.599976,248.105286,51260828
2000-09-13,665.000000,667.000000,650.000000,658.599976,242.941193,48451420
2000-09-14,654.500000,654.500000,631.000000,633.799988,233.792953,62262736
2000-09-15,637.000000,651.500000,629.500000,648.000000,239.031006,72032864
2000-09-18,645.000000,663.000000,645.000000,653.700012,241.133759,47279140
2000-09-19,664.000000,668.799988,646.000000,663.000000,244.564178,32403824
2000-09-20,647.000000,647.000000,632.000000,642.099976,236.854660,58003280
2000-09-21,640.000000,644.500000,618.000000,624.000000,230.178009,58782364
2000-09-22,622.000000,624.000000,602.500000,609.000000,224.644897,36985884
2000-09-25,605.000000,605.799988,588.500000,595.000000,219.480820,47799568
2000-09-26,600.000000,607.000000,594.500000,596.599976,220.070740,29117220
2000-09-27,601.000000,609.500000,598.000000,604.900024,223.132568,38067628
2000-09-28,610.000000,610.000000,591.000000,594.599976,219.333115,65242220
2000-09-29,597.000000,599.000000,588.000000,593.000000,218.742905,38045560
2000-10-02,602.000000,617.000000,597.000000,612.000000,225.751587,37310696
2000-10-03,609.000000,622.000000,608.000000,610.500000,225.198273,38503372
2000-10-04,609.500000,618.000000,600.000000,603.000000,222.431610,30202096
2000-10-05,600.000000,604.000000,595.000000,597.700012,220.476578,32463152
2000-10-06,604.500000,616.500000,599.799988,608.799988,224.571121,65823340
2000-10-09,610.000000,619.299988,605.000000,611.000000,225.382614,17975756
2000-10-10,614.500000,628.000000,614.500000,623.799988,230.104248,67218616
2000-10-11,618.500000,647.000000,617.500000,638.799988,235.637436,66592048
2000-10-12,640.000000,653.000000,630.000000,646.500000,238.477707,52474432
2000-10-13,646.000000,655.000000,628.000000,632.799988,233.424240,24675964
2000-10-16,626.500000,636.000000,624.000000,630.500000,232.575729,39515600
2000-10-17,632.000000,634.799988,613.000000,628.000000,231.653473,55761776
