Date,Open,High,Low,Close,Adj Close,Volume
2000-05-16,19.316999,19.316999,19.316999,19.316999,19.316999,1320442
2000-05-17,19.785000,19.785000,19.785000,19.785000,19.785000,6030051
2000-05-18,19.917000,19.917000,19.917000,19.917000,19.917000,1285785
2000-05-19,19.983000,19.983000,19.983000,19.983000,19.983000,736412
2000-05-22,20.982000,20.982000,20.982000,20.982000,20.982000,1760655
2000-05-23,21.450001,21.450001,21.450001,21.450001,21.450001,1562472
2000-05-24,21.582001,21.582001,21.582001,21.582001,21.582001,819809
2000-05-25,21.582001,21.582001,21.582001,21.582001,21.582001,775056
2000-05-26,21.582001,21.582001,21.582001,21.582001,21.582001,1230695
2000-05-29,19.146000,19.146000,19.146000,19.146000,19.146000,0
2000-05-30,21.582001,21.582001,21.582001,21.582001,21.582001,286899
2000-05-31,21.582001,21.582001,21.582001,21.582001,21.582001,3984153
2000-06-01,17.385000,17.385000,17.385000,17.385000,17.385000,1898875
2000-06-02,18.711000,18.711000,18.711000,18.711000,18.711000,2071694
2000-06-05,18.711000,18.711000,18.711000,18.711000,18.711000,1541708
2000-06-06,21.183001,21.183001,21.183001,21.183001,21.183001,598026
2000-06-07,22.514999,22.514999,22.514999,22.514999,22.514999,200193
2000-06-08,18.594000,18.594000,18.594000,18.594000,18.594000,210919
2000-06-09,29.577000,29.577000,29.577000,29.577000,29.577000,605899
2000-06-12,27.177000,27.177000,27.177000,27.177000,27.177000,479659
2000-06-13,21.117001,21.117001,21.117001,21.117001,21.117001,2787934
2000-06-14,21.384001,21.384001,21.384001,21.384001,21.384001,242349
2000-06-15,22.580999,22.580999,22.580999,22.580999,22.580999,478879
2000-06-16,22.514999,22.514999,22.514999,22.514999,22.514999,2039904
2000-06-19,22.514999,22.514999,22.514999,22.514999,22.514999,243266
2000-06-20,22.382999,22.382999,22.382999,22.382999,22.382999,178449
2000-06-21,22.580999,22.580999,22.580999,22.580999,22.580999,244953
2000-06-22,24.246000,24.246000,24.246000,24.246000,24.246000,2413161
2000-06-23,24.180000,24.180000,24.180000,24.180000,24.180000,2631841
2000-06-26,24.180000,24.180000,24.180000,24.180000,24.180000,891272
2000-06-27,23.580000,23.580000,23.580000,23.580000,23.580000,753756
2000-06-28,23.049000,23.049000,23.049000,23.049000,23.049000,714436
2000-06-29,22.983000,22.983000,22.983000,22.983000,22.983000,2376118
2000-06-30,22.580999,22.580999,22.580999,22.580999,22.580999,128753
2000-07-03,18.318001,18.318001,18.318001,18.318001,18.318001,106669
2000-07-04,17.187000,17.187000,17.187000,17.187000,17.187000,2598037
2000-07-05,19.770000,19.770000,19.770000,19.770000,19.770000,300823
2000-07-06,21.183001,21.183001,21.183001,21.183001,21.183001,23266294
2000-07-07,22.983000,22.983000,22.983000,22.983000,22.983000,9982158
2000-07-10,20.301001,20.301001,20.301001,20.301001,20.301001,82409
2000-07-11,28.110001,28.110001,28.110001,28.110001,28.110001,662992
2000-07-12,27.843000,27.843000,27.843000,27.843000,27.843000,1026102
2000-07-13,23.247000,23.247000,23.247000,23.247000,23.247000,203596
2000-07-14,23.316000,23.316000,23.316000,23.316000,23.316000,1319092
2000-07-17,23.382000,23.382000,23.382000,23.382000,23.382000,5606738
2000-07-18,23.382000,23.382000,23.382000,23.382000,23.382000,239066
2000-07-19,23.382000,23.382000,23.382000,23.382000,23.382000,4554516
2000-07-20,23.115000,23.115000,23.115000,23.115000,23.115000,911212
2000-07-21,22.983000,22.983000,22.983000,22.983000,22.983000,872725
2000-07-24,22.646999,22.646999,22.646999,22.646999,22.646999,157629
2000-07-25,22.115999,22.115999,22.115999,22.115999,22.115999,500546
2000-07-26,21.981001,21.981001,21.981001,21.981001,21.981001,573152
2000-07-27,21.981001,21.981001,21.981001,21.981001,21.981001,3595757
2000-07-28,21.915001,21.915001,21.915001,21.915001,21.915001,894392
2000-07-31,21.849001,21.849001,21.849001,21.849001,21.849001,215986
2000-08-01,19.476000,19.476000,19.476000,19.476000,19.476000,207413
2000-08-02,14.190000,14.190000,14.190000,14.190000,14.190000,421319
2000-08-03,18.584999,18.584999,18.584999,18.584999,18.584999,1136272
2000-08-04,20.007000,20.007000,20.007000,20.007000,20.007000,122556
2000-08-07,20.417999,20.417999,20.417999,20.417999,20.417999,3918353
2000-08-08,23.448000,23.448000,23.448000,23.448000,23.448000,113479
2000-08-09,31.308001,31.308001,31.308001,31.308001,31.308001,379199
2000-08-10,21.299999,21.299999,21.299999,21.299999,21.299999,846292
2000-08-11,27.978001,27.978001,27.978001,27.978001,27.978001,166433
2000-08-14,24.315001,24.315001,24.315001,24.315001,24.315001,180493
2000-08-15,25.313999,25.313999,25.313999,25.313999,25.313999,795639
2000-08-16,25.511999,25.511999,25.511999,25.511999,25.511999,833189
2000-08-17,25.379999,25.379999,25.379999,25.379999,25.379999,298149
2000-08-18,25.577999,25.577999,25.577999,25.577999,25.577999,573856
2000-08-21,25.646999,25.646999,25.646999,25.646999,25.646999,151776
2000-08-22,26.778000,26.778000,26.778000,26.778000,26.778000,1235188
2000-08-23,26.046000,26.046000,26.046000,26.046000,26.046000,764702
2000-08-24,26.247000,26.247000,26.247000,26.247000,26.247000,1162889
2000-08-25,28.245001,28.245001,28.245001,28.245001,28.245001,1845951
2000-08-28,25.056000,25.056000,25.056000,25.056000,25.056000,0
2000-08-29,27.510000,27.510000,27.510000,27.510000,27.510000,1100825
2000-08-30,29.775000,29.775000,29.775000,29.775000,29.775000,2458261
2000-08-31,30.441000,30.441000,30.441000,30.441000,30.441000,5908611
2000-09-01,27.360001,27.360001,27.360001,27.360001,27.360001,1255058
2000-09-04,27.360001,27.360001,27.360001,27.360001,27.360001,3361067
2000-09-05,16.521000,16.521000,16.521000,16.521000,16.521000,2329481
2000-09-06,21.051001,21.051001,21.051001,21.051001,21.051001,1050185
2000-09-07,27.771000,27.771000,27.771000,27.771000,27.771000,4783086
2000-09-08,24.114000,24.114000,24.114000,24.114000,24.114000,957179
2000-09-11,26.580000,26.580000,26.580000,26.580000,26.580000,1228085
2000-09-12,26.066999,26.066999,26.066999,26.066999,26.066999,350813
2000-09-13,29.309999,29.309999,29.309999,29.309999,29.309999,3595167
2000-09-14,29.042999,29.042999,29.042999,29.042999,29.042999,516059
2000-09-15,27.312000,27.312000,27.312000,27.312000,27.312000,2459521
2000-09-18,27.444000,27.444000,27.444000,27.444000,27.444000,2141241
2000-09-19,27.444000,27.444000,27.444000,27.444000,27.444000,133066
2000-09-20,27.312000,27.312000,27.312000,27.312000,27.312000,7916406
2000-09-21,27.177000,27.177000,27.177000,27.177000,27.177000,5129692
2000-09-22,26.046000,26.046000,26.046000,26.046000,26.046000,2070248
2000-09-25,25.778999,25.778999,25.778999,25.778999,25.778999,1162732
2000-09-26,25.047001,25.047001,25.047001,25.047001,25.047001,270626
2000-09-27,24.981001,24.981001,24.981001,24.981001,24.981001,415832
2000-09-28,24.912001,24.912001,24.912001,24.912001,24.912001,2228414
2000-09-29,25.379999,25.379999,25.379999,25.379999,25.379999,3226457
2000-10-02,25.379999,25.379999,25.379999,25.379999,25.379999,0
2000-10-03,19.584000,19.584000,19.584000,19.584000,19.584000,862802
2000-10-04,17.253000,17.253000,17.253000,17.253000,17.253000,291623
2000-10-05,16.320000,16.320000,16.320000,16.320000,16.320000,104173
2000-10-06,21.360001,21.360001,21.360001,21.360001,21.360001,221383
2000-10-09,21.360001,21.360001,21.360001,21.360001,21.360001,552316
2000-10-10,23.913000,23.913000,23.913000,23.913000,23.913000,1256205
2000-10-11,26.445000,26.445000,26.445000,26.445000,26.445000,2525671
2000-10-12,21.888000,21.888000,21.888000,21.888000,21.888000,340679
2000-10-13,25.179001,25.179001,25.179001,25.179001,25.179001,2263668
2000-10-16,25.113001,25.113001,25.113001,25.113001,25.113001,959789
2000-10-17,24.780001,24.780001,24.780001,24.780001,24.780001,3669730
2000-10-18,24.513000,24.513000,24.513000,24.513000,24.513000,1551995
2000-10-19,24.447001,24.447001,24.447001,24.447001,24.447001,1423608
2000-10-20,24.912001,24.912001,24.912001,24.912001,24.912001,44969
2000-10-23,25.313999,25.313999,25.313999,25.313999,25.313999,4382333
2000-10-24,27.246000,27.246000,27.246000,27.246000,27.246000,1971068
2000-10-25,27.111000,27.111000,27.111000,27.111000,27.111000,469129
2000-10-26,27.111000,27.111000,27.111000,27.111000,27.111000,56269
2000-10-27,27.312000,27.312000,27.312000,27.312000,27.312000,932889
2000-10-30,26.379000,26.379000,26.379000,26.379000,26.379000,2943127
2000-10-31,26.379000,26.379000,26.379000,26.379000,26.379000,697209
2000-11-01,23.636999,23.636999,23.636999,23.636999,23.636999,144116
2000-11-02,23.636999,23.636999,23.636999,23.636999,23.636999,5450598
2000-11-03,23.636999,23.636999,23.636999,23.636999,23.636999,5450598
2000-11-06,25.007999,25.007999,25.007999,25.007999,25.007999,3271747
2000-11-07,23.049000,23.049000,23.049000,23.049000,23.049000,8123653
2000-11-08,24.315001,24.315001,24.315001,24.315001,24.315001,8123653
2000-11-09,30.108000,30.108000,30.108000,30.108000,30.108000,2175108
2000-11-10,24.714001,24.714001,24.714001,24.714001,24.714001,79989
2000-11-13,26.445000,26.445000,26.445000,26.445000,26.445000,1796038
2000-11-14,25.980000,25.980000,25.980000,25.980000,25.980000,1097779
2000-11-15,25.980000,25.980000,25.980000,25.980000,25.980000,164996
2000-11-16,25.980000,25.980000,25.980000,25.980000,25.980000,154129
2000-11-17,25.980000,25.980000,25.980000,25.980000,25.980000,2036565
2000-11-20,25.511999,25.511999,25.511999,25.511999,25.511999,306163
2000-11-21,25.379999,25.379999,25.379999,25.379999,25.379999,524252
2000-11-22,25.379999,25.379999,25.379999,25.379999,25.379999,1086532
2000-11-23,25.313999,25.313999,25.313999,25.313999,25.313999,689052
2000-11-24,25.511999,25.511999,25.511999,25.511999,25.511999,403333
2000-11-27,25.844999,25.844999,25.844999,25.844999,25.844999,887549
2000-11-28,26.046000,26.046000,26.046000,26.046000,26.046000,300189
2000-11-29,25.980000,25.980000,25.980000,25.980000,25.980000,169453
2000-11-30,25.980000,25.980000,25.980000,25.980000,25.980000,291683
2000-12-01,21.117001,21.117001,21.117001,21.117001,21.117001,4255266
2000-12-04,21.117001,21.117001,21.117001,21.117001,21.117001,868235
2000-12-05,21.117001,21.117001,21.117001,21.117001,21.117001,711812
2000-12-06,21.117001,21.117001,21.117001,21.117001,21.117001,569122
2000-12-07,23.049000,23.049000,23.049000,23.049000,23.049000,2826351
2000-12-08,24.830999,24.830999,24.830999,24.830999,24.830999,1378662
2000-12-11,24.830999,24.830999,24.830999,24.830999,24.830999,1600818
2000-12-12,28.044001,28.044001,28.044001,28.044001,28.044001,3717870
